"Experiment"	"Batch"	"NREADS"	"NALIGNED"	"RALIGN"	"TOTAL_DUP"	"PRIMER"	"PCT_RIBOSOMAL_BASES"	"PCT_CODING_BASES"	"PCT_UTR_BASES"	"PCT_INTRONIC_BASES"	"PCT_INTERGENIC_BASES"	"PCT_MRNA_BASES"	"MEDIAN_CV_COVERAGE"	"MEDIAN_5PRIME_BIAS"	"MEDIAN_3PRIME_BIAS"	"CreER"	"ERCC_reads"
"JNRF03_N711_S511"	"K5ERP63CKO_UI_96HPT"	"P01"	773801	743170	96.0415	33.4164	0.019871	0	0.337159	0.332042	0.188169	0.142631	0.669201	0.85152	0.072327	0.453056	1	4236
"JNRF03_N715_S507"	"K5ERP63CKO_UI_96HPT"	"P01"	860520	831458	96.6227	37.5546	0.0149289	0	0.242427	0.238542	0.374673	0.144358	0.480969	1.02601	0	0.414979	1047	6935
"JNRF03_N711_S508"	"K5ERP63CKO_UI_96HPT"	"P01"	860220	832652	96.7952	26.6211	0.0150821	0	0.304773	0.24818	0.334139	0.112908	0.552953	0.742144	0.162764	0.354752	0	3058
"JNRF03_N712_S503"	"K5ERP63CKO_UI_96HPT"	"P01"	784557	755221	96.2608	41.5643	0.0158618	0	0.182878	0.22196	0.464343	0.130819	0.404838	1.31059	0	0.294616	264	9249
"JNRF03_N714_S511"	"K5ERP63CKO_UI_96HPT"	"P01"	823147	792617	96.2911	43.4945	0.0159693	0	0.192616	0.198209	0.458265	0.15091	0.390825	1.34309	0	0.253948	608	15204
"JNRF04_N727_S517"	"K5ERRY_UI_72HPT"	"Y04"	667899	617165	92.4039	66.4321	0.034741	0	0.135572	0.223485	0.116963	0.52398	0.359057	1.75402	0	0.711627	1980	174782
"JNRF03_N715_S503"	"K5ERP63CKO_UI_96HPT"	"P01"	815875	773346	94.7873	46.4529	0.0266294	0	0.239275	0.260738	0.290198	0.209788	0.500013	1.34387	0	0.488698	23	11865
"JNRF04_N726_S515"	"K5ERRY_UI_72HPT"	"Y04"	629441	598022	95.0084	41.9121	0.0243787	0	0.192754	0.220802	0.310988	0.275456	0.413556	1.20133	0	0.354627	389	50395
"JNRF04_N728_S518"	"K5ERRY_UI_72HPT"	"Y04"	713423	682613	95.6814	52.9113	0.0154977	0	0.227729	0.237834	0.21328	0.321157	0.465563	1.17283	0	0.329629	2660	92604
"JNRF04_N727_S515"	"K5ERRY_UI_72HPT"	"Y04"	1037140	989989	95.4539	46.0901	0.022	0	0.347017	0.290466	0.165089	0.197428	0.637483	0.772777	0.116886	0.436125	973	53644
"JNRF04_N729_S516"	"K5ERRY_UI_72HPT"	"Y04"	799264	766339	95.8806	40.3058	0.0188724	0	0.176407	0.206386	0.390284	0.226923	0.382793	1.08381	0	0.381594	826	52063
"JNRF03_N715_S506"	"K5ERP63CKO_UI_96HPT"	"P01"	678365	640043	94.3508	50.3982	0.024291	0	0.170152	0.279746	0.321239	0.228863	0.449898	1.69014	0	0.617659	0	15633
"JNRF03_N711_S510"	"K5ERP63CKO_UI_96HPT"	"P01"	853728	822422	96.333	39.6104	0.0158683	0	0.382289	0.32101	0.165255	0.131447	0.703299	0.790484	0.089699	0.395044	2850	9262
"JNRF03_N714_S505"	"K5ERP63CKO_UI_96HPT"	"P01"	867468	841277	96.9808	23.7826	0.0136022	0	0.314612	0.244687	0.320253	0.120448	0.559299	0.738143	0.138761	0.407329	3	2198
"JNRF04_N726_S517"	"K5ERRY_UI_72HPT"	"Y04"	873245	833150	95.4085	50.6403	0.02145	0	0.257724	0.261175	0.226756	0.254345	0.518899	1.06303	0.004073	0.31065	2956	90382
"JNRF03_N712_S506"	"K5ERP63CKO_UI_96HPT"	"P01"	833470	799688	95.9468	60.7188	0.0179914	0	0.424177	0.369972	0.055003	0.150848	0.794149	1.1515	0	0.261424	360	28101
"JNRF04_N728_S520"	"K5ERRY_UI_72HPT"	"Y04"	845438	810477	95.8647	45.6281	0.017467	0	0.172068	0.196373	0.381769	0.24979	0.368441	1.35172	0	0.319125	1496	80696
"JNRF03_N714_S508"	"K5ERP63CKO_UI_96HPT"	"P01"	872457	843999	96.7382	39.208	0.0138695	0	0.232677	0.214538	0.419225	0.13356	0.447215	1.03006	0.027703	0.314338	21	7667
"JNRF04_N729_S513"	"K5ERRY_UI_72HPT"	"Y04"	718750	684754	95.2701	41.6189	0.0218228	0	0.149447	0.17968	0.400228	0.270645	0.329127	1.42313	0	0.454254	655	56712
"JNRF03_N712_S502"	"K5ERP63CKO_UI_96HPT"	"P01"	899049	867054	96.4412	48.3419	0.0165889	0	0.377747	0.341529	0.146559	0.134166	0.719275	0.939442	0.038016	0.398972	372	10725
"JNRF04_N727_S520"	"K5ERRY_UI_72HPT"	"Y04"	777588	736827	94.758	46.8752	0.0267358	0	0.274641	0.298884	0.135523	0.290952	0.573525	1.0724	0	0.480496	1862	57703
"JNRF04_N726_S518"	"K5ERRY_UI_72HPT"	"Y04"	898154	856679	95.3822	44.3186	0.0230697	0	0.175879	0.197462	0.388586	0.238072	0.373341	1.31383	0	0.362311	694	66761
"JNRF04_N728_S515"	"K5ERRY_UI_72HPT"	"Y04"	815527	770685	94.5015	49.7322	0.0251553	1e-05	0.203818	0.23678	0.246314	0.313078	0.440599	1.25974	0	0.462015	17	98730
"OEL05_N719_S505"	"K5ERRY_UI_72HPT"	"Y04"	1581480	1500880	94.9036	66.9176	0.0219241	0	0.244386	0.233683	0.212211	0.30972	0.478069	1.19919	0	0.306394	4101	207135
"OEL05_N719_S511"	"K5ERRY_UI_72HPT"	"Y04"	1356410	1263440	93.1459	59.2799	0.0303578	2e-06	0.209693	0.237221	0.27701	0.276075	0.446913	1.50477	0	0.461624	2920	131856
